,city,st_short,st_long,county,city_alias
2181,Toa Baja,PR,Puerto Rico,TOA BAJA,Hacienda Del Norte
2182,Toa Baja,PR,Puerto Rico,TOA BAJA,Sect La Pra
2183,Toa Baja,PR,Puerto Rico,TOA BAJA,Levittown
2184,Toa Baja,PR,Puerto Rico,TOA BAJA,Alts De Covadonga
2185,Toa Baja,PR,Puerto Rico,TOA BAJA,Pradera Norte
2186,Toa Baja,PR,Puerto Rico,TOA BAJA,Res Campanilla
2187,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Covadonga
2188,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Pabellones
2189,Toa Baja,PR,Puerto Rico,TOA BAJA,Repto Anamar
2190,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Altagracia
2191,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Campanillas
2192,Toa Baja,PR,Puerto Rico,TOA BAJA,Villa De Levittown
2193,Toa Baja,PR,Puerto Rico,TOA BAJA,Parq Punta Salinas
2194,Toa Baja,PR,Puerto Rico,TOA BAJA,URB La Rosaleda I
2195,Toa Baja,PR,Puerto Rico,TOA BAJA,URB La Rosaleda Ii
2196,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Las Gaviotas
2197,Toa Baja,PR,Puerto Rico,TOA BAJA,URB San Pedro
2198,Toa Baja,PR,Puerto Rico,TOA BAJA,Vista Del Lago
2199,Toa Baja,PR,Puerto Rico,TOA BAJA,Ext La Inmaculada
2200,Toa Baja,PR,Puerto Rico,TOA BAJA,Mans Del Lago
2201,Toa Baja,PR,Puerto Rico,TOA BAJA,Mans Del Sur
2202,Toa Baja,PR,Puerto Rico,TOA BAJA,Qta Real
2203,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Almira
2204,Toa Baja,PR,Puerto Rico,TOA BAJA,URB La Inmaculada
2205,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Santa Maria
2206,Toa Baja,PR,Puerto Rico,TOA BAJA,Mans Del Norte
2207,Toa Baja,PR,Puerto Rico,TOA BAJA,Pradera
2208,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Camino Del Mar
2209,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Toaville
2210,Toa Baja,PR,Puerto Rico,TOA BAJA,Toa Baja
2211,Toa Baja,PR,Puerto Rico,TOA BAJA,Bo Palo Seco
2212,Toa Baja,PR,Puerto Rico,TOA BAJA,Brisas De Campanero
2213,Toa Baja,PR,Puerto Rico,TOA BAJA,Hacienda Del Norte 2
2214,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Dos Rios
2215,Toa Baja,PR,Puerto Rico,TOA BAJA,URB El Plantio
2216,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Lagos De Plata
2217,Toa Baja,PR,Puerto Rico,TOA BAJA,URB Levittown
2218,Sabana Seca,PR,Puerto Rico,TOA BAJA,Sabana Seca
2219,Sabana Seca,PR,Puerto Rico,TOA BAJA,Mans Del Sol
2220,Toa Alta,PR,Puerto Rico,TOA ALTA,Mans De Montecasino I
2221,Toa Alta,PR,Puerto Rico,TOA ALTA,URB La Providencia
2222,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Palacios Del Rio I
2223,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Town Hls
2224,Toa Alta,PR,Puerto Rico,TOA ALTA,Vistas Del Rio Iii
2225,Toa Alta,PR,Puerto Rico,TOA ALTA,Jard De La Fuente
2226,Toa Alta,PR,Puerto Rico,TOA ALTA,Terr Del Toa
2227,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Fuentebella
2228,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Los Arboles
2229,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Palacios Del Monte
2230,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Portobello
2231,Toa Alta,PR,Puerto Rico,TOA ALTA,URB San Fernando
2232,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Toa Alta Hts
2233,Toa Alta,PR,Puerto Rico,TOA ALTA,Valle Del Paraiso
2234,Toa Alta,PR,Puerto Rico,TOA ALTA,Brisas De Montecasino
2235,Toa Alta,PR,Puerto Rico,TOA ALTA,Ciudad Jardin Iii
2236,Toa Alta,PR,Puerto Rico,TOA ALTA,Hacienda El Pilar
2237,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Casitas De La Fuente
2238,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Monte Lago Est
2239,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Veredas Del Rio Ii
2240,Toa Alta,PR,Puerto Rico,TOA ALTA,Villa Matilde
2241,Toa Alta,PR,Puerto Rico,TOA ALTA,Alts Del Toa
2242,Toa Alta,PR,Puerto Rico,TOA ALTA,Ciudad Jardin I
2243,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Monte Sol
2244,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Palacios De Marbella
2245,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Palacios De Versalles
2246,Toa Alta,PR,Puerto Rico,TOA ALTA,Villa Del Monte
2247,Toa Alta,PR,Puerto Rico,TOA ALTA,Alt De Bucabarones
2248,Toa Alta,PR,Puerto Rico,TOA ALTA,Colinas De Plata
2249,Toa Alta,PR,Puerto Rico,TOA ALTA,Jard De Casablanca
2250,Toa Alta,PR,Puerto Rico,TOA ALTA,Jard De Mediterraneo
2251,Toa Alta,PR,Puerto Rico,TOA ALTA,Mans Del Toa
2252,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Palacio Imperial
2253,Toa Alta,PR,Puerto Rico,TOA ALTA,Toa Alta
2254,Toa Alta,PR,Puerto Rico,TOA ALTA,Haciendas De Borinquen
2255,Toa Alta,PR,Puerto Rico,TOA ALTA,Repto San Jose
2256,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Montecasino
2257,Toa Alta,PR,Puerto Rico,TOA ALTA,Est De La Fuente
2258,Toa Alta,PR,Puerto Rico,TOA ALTA,Mans De Montecasino Ii
2259,Toa Alta,PR,Puerto Rico,TOA ALTA,Praderas Del Rio
2260,Toa Alta,PR,Puerto Rico,TOA ALTA,Qtas De Plaza Aquarium
2261,Toa Alta,PR,Puerto Rico,TOA ALTA,Sect Los Rodriguez
2262,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Las Cascadas
2263,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Madelaine
2264,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Montecasino Hts
2265,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Palacios Reales
2266,Toa Alta,PR,Puerto Rico,TOA ALTA,URB Woodbridge Pk
2267,Toa Alta,PR,Puerto Rico,TOA ALTA,Alts De Montecasino
