,city,st_short,st_long,county,city_alias
1626,Juncos,PR,Puerto Rico,JUNCOS,Repto Valenciano
1627,Juncos,PR,Puerto Rico,JUNCOS,URB Cerro Ceiba
1628,Juncos,PR,Puerto Rico,JUNCOS,URB La Ceiba
1629,Juncos,PR,Puerto Rico,JUNCOS,Paseo Palma Real
1630,Juncos,PR,Puerto Rico,JUNCOS,Haciendas De Tena
1631,Juncos,PR,Puerto Rico,JUNCOS,Jard De Ceiba Norte
1632,Juncos,PR,Puerto Rico,JUNCOS,Portales De Juncos
1633,Juncos,PR,Puerto Rico,JUNCOS,URB Senderos De Juncos
1634,Juncos,PR,Puerto Rico,JUNCOS,URB Valencia 2
1635,Juncos,PR,Puerto Rico,JUNCOS,URB Virginia Vly
