,city,link,state,title
14,['Brookfield'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCb16q2qR-eeJEbuo4NGap33o&lsspp=CUUCD3GZptSL&rlt=Best+places+to+eat&owsq=Brookfield,+Connecticut+Restaurants&ved=2ahUKEwi3sOCIxYXuAhX2FlkFHclvD6AQ9s8CMAl6BAgAEAw",['Connecticut'],Best places to eat
15,['Brookfield'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=pizza+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCb16q2qR-eeJEbuo4NGap33o&lsspp=CVaGLqz5yYOT&rlt=Pizza+restaurants&owsq=Brookfield,+Connecticut+Restaurants&ved=2ahUKEwi3sOCIxYXuAhX2FlkFHclvD6AQ9s8CMAp6BAgAEA4",['Connecticut'],Pizza restaurants
16,['Brookfield'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=restaurants+with+great+cocktails&rflfq=1&num=10&uule=w+CAQQCFISCb16q2qR-eeJEbuo4NGap33o&lsspp=CTe_9sKa1c6N&rlt=Food+and+cocktails&owsq=Brookfield,+Connecticut+Restaurants&ved=2ahUKEwi3sOCIxYXuAhX2FlkFHclvD6AQ9s8CMAt6BAgAEBA",['Connecticut'],Food and cocktails
17,['Brookfield'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=warm+and+cozy+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCb16q2qR-eeJEbuo4NGap33o&lsspp=CQnnH63Me9fm&rlt=Cozy+restaurants&owsq=Brookfield,+Connecticut+Restaurants&ved=2ahUKEwi3sOCIxYXuAhX2FlkFHclvD6AQ9s8CMAx6BAgAEBI",['Connecticut'],Cozy restaurants
18,['Brookfield'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=great+cocktails&rflfq=1&num=10&uule=w+CAQQCFISCb16q2qR-eeJEbuo4NGap33o&lsspp=Cb3sZk4LsIQb&rlt=Great+cocktails&owsq=Brookfield,+Connecticut+Restaurants&ved=2ahUKEwi3sOCIxYXuAhX2FlkFHclvD6AQ9s8CMA16BAgAEBQ",['Connecticut'],Great cocktails
19,['Brookfield'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=quick+bites&rflfq=1&num=10&uule=w+CAQQCFISCb16q2qR-eeJEbuo4NGap33o&lsspp=CcN3cKNX8odw&rlt=Quick+bites&owsq=Brookfield,+Connecticut+Restaurants&ved=2ahUKEwi3sOCIxYXuAhX2FlkFHclvD6AQ9s8CMA56BAgAEBY",['Connecticut'],Quick bites
20,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=takeout+food&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=CaqxBmwy5O5r&rlt=Takeout&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMAV6BAgAEAQ",['Connecticut'],Takeout
21,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=Delivery+Food&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=&rlt=Delivery&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMAZ6BAgAEAY",['Connecticut'],Delivery
22,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=family-friendly+dinner&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=Cf261uL62PTW&rlt=Best+dinners+with+kids&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMAd6BAgAEAg",['Connecticut'],Best dinners with kids
23,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=italian+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=CQqjnLypCy-u&rlt=Italian+restaurants&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMAh6BAgAEAo",['Connecticut'],Italian restaurants
